Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KEYWORDS FOR MATERIAL TESTING MACHINES,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
12,VPN CHECKING MACHINE,,,,,,12.0,BHN CHECKING MACHINE,,,,,52.0,B - 250.0 - PC
13,COMPUTERISED VICKERS HAREDNESS TESTER,,,,,,13.0,COMPUTERISED BRINELL  HAREDNESS TESTER,,,,,53.0,B - 62.5 - PC
14,COMPUTERISED VICKERS HAREDNESS TESTING MACHINES,,,,,,14.0,COMPUTERISED BRINELL HAREDNESS TESTING MACHINES,,,,,,
15,VICKERS CUM BRINELL HARDNESS TESTING MACHINE,,,,,,15.0,OPTICAL BRINELL HARDNESS TESTING MACHINE,,,,,,
16,VICKERS CUM BRINELL HARDNESS TESTER,,,,,,16.0,OPTICAL BRINELL HARDNESS TESTER,,,,,,
17,OPTICAL VICKERS HARDNESS TESTING MACHINE,,,,,,17.0,BHN HARDNESS TESTER,,,,,,
18,OPTICAL VICKERS HARDNESS TESTER,,,,,,,,,,,,,SPECIAL MODELS
19,VPN HARDNESS TESTER,,,,,,,BY RATIOS FROM STANDARD,,,,,54.0,DEEP  THROAT BHN MACHINES
,,,,,,,18.0,2.5MM/187.5KGF,,,,,55.0,DEEP THROAT BRINELL HARDNESS TESTER
20,MICROVICKERS HARDNESS TESTER,,,,,,19.0,2.5MM/62.5KGF,,,,,,
21,DIGITAL MICRO VICKERS HARDNESS TESTER,,,,,,20.0,2.5MM/31.25KGF,,,,,,
22,COMPUTERISED MICRO VICKERS HARDNESS TESTER,,,,,,21.0,2.5MM/15.625KGF,,,,,,
,,,,,,,22.0,5.0MM/250KGF,,,,,,
,,,,,,,23.0,10MM/500KGF,,,,,,
,BY APPLICATION,,,,,,24.0,10MM/1000KGF,,,,,,
23,COPPER HARDNESS TESTER,,,,,,25.0,5MM/750KGF,,,,,,
24,BRASS HARDNESS TESTER,,,,,,26.0,10MM/3000KGF,,,,,,
25,BRONZE HARDNESS TESTER,,,,,,,,,,,,,
26,STEEL HARDNESS TESTER,,,,,,,BY APPLICATION,,,,,,
27,NON FERROUS HARDNESS TESTER,,,,,,27.0,COPPER HARDNESS TESTER,,,,,,
28,FERROUS HARDNESS TESTER,,,,,,28.0,BRASS HARDNESS TESTER,,,,,,
29,ALUMINIUM ALLOYS HARDNESS TESTER,,,,,,29.0,BRONZE HARDNESS TESTER,,,,,,
30,NON FERROUS ALLOYS HARDNESS TESTER,,,,,,30.0,STEEL HARDNESS TESTER,,,,,,
31,FERROUS ALLOYS HARDNESS TESTER,,,,,,31.0,NON FERROUS HARDNESS TESTER,,,,,,
32,CAST IRON HARDNESS TESTER,,,,,,32.0,FERROUS HARDNESS TESTER,,,,,,
33,C.I HARDNESS TESTER,,,,,,34.0,ALUMINIUM ALLOYS HARDNESS TESTER,,,,,,
34,S.G. IRON HARDNESS TESTER,,,,,,35.0,NON FERROUS ALLOYS HARDNESS TESTER,,,,,,
35,HEAT TREATMENT MATERIAL HARDNESS TESTER,,,,,,36.0,FERROUS ALLOYS HARDNESS TESTER,,,,,,
36,HARDENEND MATERIAL HARDNESS TESTER,,,,,,37.0,CAST IRON HARDNESS TESTER,,,,,,
,,,,,,,38.0,C.I HARDNESS TESTER,,,,,,
,BY MODELS,,,,,,39.0,S.G. IRON HARDNESS TESTER,,,,,,
37,BV - 50,40.0,BV - 120,43.0,BV - 250,,40.0,HEAT TREATMENT MATERIAL HARDNESS TESTER,,,,,,
38,BV-50(S),41.0,BV - 120(S),44.0,BV - 250(S),,41.0,HARDENEND MATERIAL HARDNESS TESTER,,,,,,
39,BV - 10(S) - IPC,42.0,BV - 50 - IPC,45.0,BV - 120 - IPC,,,,,,,,,
